recipe_id,recipe_name,recipe_slug,category,meal_type,image_url,generated_at
"cmifeo3zm00dlkgeb6qpf7nut","Açaí Power Bowl","acai-power-bowl","Smoothies & Bowls","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo3zm00dlkgeb6qpf7nut.jpg","2025-11-26T03:28:24.325Z"
"cmifeo4ts00hekgebi5y5r28i","Almond Butter & Berry Toast","almond-butter-berry-toast","Pancakes, Waffles & Toast","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo4ts00hekgebi5y5r28i.jpg","2025-11-26T03:28:36.149Z"
"cmifeosji036hkgebxfti3jsw","Almond Butter Date Balls","almond-butter-date-balls","Energy Bites","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeosji036hkgebxfti3jsw.jpg","2025-11-26T03:28:47.334Z"
"cmifeov2303ibkgeb0js9b71l","Almond Flour Chocolate Chip Cookies","almond-flour-cookies","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeov2303ibkgeb0js9b71l.jpg","2025-11-26T03:28:58.832Z"
"cmifeoxpy03uckgebv99w6wzr","Anti-Inflammatory Power Smoothie","anti-inflammatory-smoothie","Anti-Inflammatory Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoxpy03uckgebv99w6wzr.jpg","2025-11-26T03:29:09.848Z"
"cmifeovt303lkkgebmuae336w","Ants on a Log","ants-on-a-log","Snacks to Share","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovt303lkkgebmuae336w.jpg","2025-11-26T03:29:21.512Z"
"cmifeovpl03l3kgebq6vmsp0k","Apple ""Nachos""","apple-nachos","Snacks to Share","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovpl03l3kgebq6vmsp0k.jpg","2025-11-26T03:29:33.026Z"
"cmifeo13x003lkgebo8gynthh","Apple Cinnamon Baked Oatmeal","apple-cinnamon-baked-oatmeal","Oats & Grains","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo13x003lkgebo8gynthh.jpg","2025-11-26T03:29:43.929Z"
"cmifeo4jz00g8kgeb3vh2bm91","Apple Pie Yogurt Bowl","apple-pie-yogurt-bowl","Yogurt & Parfaits","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo4jz00g8kgeb3vh2bm91.jpg","2025-11-26T03:29:55.297Z"
"cmifeoquh0301kgebnyr94mma","Apple Slices with Almond Butter","apple-slices-almond-butter","Quick Grab Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoquh0301kgebnyr94mma.jpg","2025-11-26T03:30:07.550Z"
"cmifeokoh0281kgebdnlfci4j","Asian Chicken Lettuce Wraps","chicken-lettuce-wraps-pf-changs-style","Asian Cuisine","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeokoh0281kgebdnlfci4j.jpg","2025-11-26T03:30:19.228Z"
"cmifeo6wg00onkgebpgzvtnw4","Asian Sesame Chicken Salad","asian-sesame-chicken-salad","Salads","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo6wg00onkgebpgzvtnw4.jpg","2025-11-26T03:30:30.991Z"
"cmifeoaer012gkgebcz1z0i5v","Avocado BLT (Turkey Bacon)","avocado-blt","Sandwiches & Wraps","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoaer012gkgebcz1z0i5v.jpg","2025-11-26T03:30:42.410Z"
"cmifeos2u034rkgeb2xb1mzvk","Avocado Half with Everything Seasoning","avocado-half-with-everything","Quick Grab Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeos2u034rkgeb2xb1mzvk.jpg","2025-11-26T03:30:53.672Z"
"cmifeo29p007okgeb34uw49qm","Avocado Toast with Poached Egg","avocado-toast-with-poached-egg","Eggs & Savory","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo29p007okgeb34uw49qm.jpg","2025-11-26T03:31:04.914Z"
"cmifeot4i0399kgebe0wnd00m","Baba Ganoush","baba-ganoush","Savory Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeot4i0399kgebe0wnd00m.jpg","2025-11-26T03:31:16.905Z"
"cmifeoujc03fukgebe9e3bdr3","Baked Apple Chips","baked-apple-chips","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoujc03fukgebe9e3bdr3.jpg","2025-11-26T03:31:28.209Z"
"cmifeooq802qkkgebyxftpzjw","Baked Chicken Fingers with Honey Mustard","baked-chicken-fingers","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeooq802qkkgebyxftpzjw.jpg","2025-11-26T03:31:40.607Z"
"cmifeoe6l01hbkgebhz2ly42r","Baked Cod with Olive Tapenade","baked-cod-with-olive-tapenade","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoe6l01hbkgebhz2ly42r.jpg","2025-11-26T03:31:52.904Z"
"cmifeomyv02inkgeb7rsya242","Baked Falafel Plate","baked-falafel-plate","Middle Eastern","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeomyv02inkgeb7rsya242.jpg","2025-11-26T03:32:04.217Z"
"cmifeopy602w0kgebovl4q3zi","Baked Mac & Cheese (Lightened)","baked-mac-and-cheese","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeopy602w0kgebovl4q3zi.jpg","2025-11-26T03:32:15.014Z"
"cmifeogzu01t5kgebip6ipqaq","Balsamic Glazed Chicken Thighs","balsamic-glazed-chicken-thighs","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeogzu01t5kgebip6ipqaq.jpg","2025-11-26T03:32:27.135Z"
"cmifeo1fe004wkgebomis0j66","Banana Nut Oat Bran","banana-nut-oat-bran","Oats & Grains","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo1fe004wkgebomis0j66.jpg","2025-11-26T03:32:38.306Z"
"cmifeovvt03lwkgeb9snfur8l","Banana Sushi","banana-sushi","Snacks to Share","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovvt03lwkgeb9snfur8l.jpg","2025-11-26T03:32:48.883Z"
"cmifeo5m700knkgebbppczjgs","Banana with Almond Butter","banana-with-almond-butter","Quick & Simple","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo5m700knkgebbppczjgs.jpg","2025-11-26T03:33:00.364Z"
"cmifeophh02ugkgeb95bt5zt7","BBQ Chicken Stuffed Sweet Potatoes","bbq-chicken-stuffed-sweet-potatoes","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeophh02ugkgeb95bt5zt7.jpg","2025-11-26T03:33:11.839Z"
"cmifeoneg02kmkgeb52f9ywf9","Beef & Vegetable Stir-Fry","beef-vegetable-stir-fry","Lean Red Meat","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoneg02kmkgeb52f9ywf9.jpg","2025-11-26T03:33:23.415Z"
"cmifeoqlv02z1kgeb08povs3z","Beef Tacos (Lean, Homemade Seasoning)","beef-tacos-homemade-seasoning","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoqlv02z1kgeb08povs3z.jpg","2025-11-26T03:33:35.249Z"
"cmifeo3hx00bykgebpb9bloyc","Berry Antioxidant Blast","berry-antioxidant-blast","Smoothies & Bowls","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo3hx00bykgebpb9bloyc.jpg","2025-11-26T03:33:46.809Z"
"cmifeouoc03gokgebf3ztq18g","Berry Chia Jam on Toast","berry-chia-jam","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeouoc03gokgebf3ztq18g.jpg","2025-11-26T03:33:58.764Z"
"cmifeovg403jrkgebl06hhi91","Berry Hibiscus Iced Tea","berry-hibiscus-tea","Beverages","BEVERAGE","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovg403jrkgebl06hhi91.jpg","2025-11-26T03:34:10.547Z"
"cmifeo91r00xtkgebjw6za201","Black Bean Soup with Lime","black-bean-soup-with-lime","Soups","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo91r00xtkgebjw6za201.jpg","2025-11-26T03:34:22.534Z"
"cmifeoib301yqkgebyrpyoig7","Black Bean Tacos","black-bean-tacos","Vegetarian & Plant-Based","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoib301yqkgebyrpyoig7.jpg","2025-11-26T03:34:35.450Z"
"cmifeody701gakgebzc1wgs5p","Blackened Tilapia Tacos","blackened-tilapia-tacos","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeody701gakgebzc1wgs5p.jpg","2025-11-26T03:34:47.556Z"
"cmifeooby02p3kgeb6w00831a","Broiled Lobster Tail with Herb Butter","lobster-tail-with-garlic-butter","Date Night","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeooby02p3kgeb6w00831a.jpg","2025-11-26T03:34:58.745Z"
"cmifeob6z014zkgebjqfybn3j","Buddha Bowl","buddha-bowl","Bowls","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeob6z014zkgebjqfybn3j.jpg","2025-11-26T03:35:09.647Z"
"cmifeobo50171kgeb8ejoxbjh","Burrito Bowl","burrito-bowl","Bowls","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeobo50171kgeb8ejoxbjh.jpg","2025-11-26T03:35:20.903Z"
